,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
22,,13.24,0.00,0.00,0.00,0.00,59.67,0.00,59.46,0.00,0.00,2,28499
23,,13.27,0.00,0.00,0.00,0.00,59.65,0.00,59.74,0.00,0.00,1,7999
24,,13.23,0.00,0.00,0.00,0.00,59.72,0.00,59.31,0.00,0.00,3,35999
25,,13.22,0.00,0.00,0.00,0.00,59.73,0.00,59.28,0.00,0.00,3,36499
26,,13.26,0.00,0.00,0.00,0.00,59.60,0.00,59.73,0.00,0.00,1,13499
27,,13.25,0.00,0.00,0.00,0.00,59.59,0.00,59.63,0.00,0.00,1,19499
28,,13.23,0.00,0.00,0.00,0.00,59.55,0.00,59.50,0.00,0.00,2,24999
29,,13.26,0.00,0.00,0.00,0.00,59.68,0.00,59.70,0.00,0.00,1,7499
30,,13.23,0.00,0.00,0.00,0.00,59.70,0.00,59.40,0.00,0.00,2,30999
31,,13.24,0.00,0.00,0.00,0.00,59.58,0.00,59.56,0.00,0.00,2,24499
32,,13.24,0.00,0.00,0.00,0.00,59.56,0.00,59.56,0.00,0.00,2,21999
33,,13.25,0.00,0.00,0.00,0.00,59.55,0.00,59.66,0.00,0.00,1,16999
34,,13.24,0.00,0.00,0.00,0.00,59.69,0.00,59.43,0.00,0.00,2,28999
35,,13.24,0.00,0.00,0.00,0.00,59.76,0.00,59.44,0.00,0.00,2,31999
36,,13.24,0.00,0.00,0.00,0.00,59.53,0.00,59.63,0.00,0.00,1,18499
37,,13.26,0.00,0.00,0.00,0.00,59.61,0.00,59.75,0.00,0.00,1,13999
38,,13.24,0.00,0.00,0.00,0.00,59.58,0.00,59.59,0.00,0.00,1,19999
39,,13.23,0.00,0.00,0.00,0.00,59.69,0.00,59.41,0.00,0.00,2,30499
40,,13.26,0.00,0.00,0.00,0.00,59.60,0.00,59.75,0.00,0.00,1,10999
41,,13.27,0.00,0.00,0.00,0.00,59.60,0.00,59.79,0.00,0.00,1,10499
42,,13.23,0.00,0.00,0.00,0.00,59.55,0.00,59.52,0.00,0.00,2,23999
43,,13.24,0.00,0.00,0.00,0.00,59.57,0.00,59.56,0.00,0.00,2,22499
44,,13.24,0.00,0.00,0.00,0.00,59.61,0.00,59.55,0.00,0.00,2,20999
45,,13.23,0.00,0.00,0.00,0.00,59.58,0.00,59.48,0.00,0.00,2,25499
46,,13.22,0.00,0.00,0.00,0.00,59.74,0.00,59.26,0.00,0.00,3,37999
47,,13.23,0.00,0.00,0.00,0.00,59.56,0.00,59.48,0.00,0.00,2,25999
48,,13.23,0.00,0.00,0.00,0.00,59.75,0.00,59.32,0.00,0.00,2,34499
49,,13.26,0.00,0.00,0.00,0.00,59.62,0.00,59.69,0.00,0.00,1,12999
50,,13.26,0.00,0.00,0.00,0.00,59.67,0.00,59.64,0.00,0.00,1,6499
51,,13.26,0.00,0.00,0.00,0.00,59.62,0.00,59.71,0.00,0.00,1,16499
52,,13.23,0.00,0.00,0.00,0.00,59.64,0.00,59.47,0.00,0.00,2,27999
53,,13.22,0.00,0.00,0.00,0.00,59.72,0.00,59.28,0.00,0.00,3,38499
54,,13.27,0.00,0.00,0.00,0.00,59.70,0.00,59.76,0.00,0.00,1,8499
55,,13.23,0.00,0.00,0.00,0.00,59.68,0.00,59.37,0.00,0.00,2,31499
56,,13.24,0.00,0.00,0.00,0.00,59.70,0.00,59.44,0.00,0.00,2,29499
57,,13.22,0.00,0.00,0.00,0.00,59.68,0.00,59.28,0.00,0.00,3,36999
58,,13.24,0.00,0.00,0.00,0.00,59.63,0.00,59.50,0.00,0.00,2,26999
59,,13.23,0.00,0.00,0.00,0.00,59.71,0.00,59.38,0.00,0.00,2,32999
60,,13.26,0.00,0.00,0.00,0.00,59.60,0.00,59.70,0.00,0.00,1,15999
61,,13.23,0.00,0.00,0.00,0.00,59.54,0.00,59.53,0.00,0.00,2,23499
62,,13.26,0.00,0.00,0.00,0.00,59.59,0.00,59.77,0.00,0.00,1,11499
63,,13.26,0.00,0.00,0.00,0.00,59.67,0.00,59.71,0.00,0.00,1,6999
64,,13.22,0.00,0.00,0.00,0.00,59.75,0.00,59.27,0.00,0.00,3,37499
65,,13.26,0.00,0.00,0.00,0.00,59.60,0.00,59.73,0.00,0.00,1,12499
66,,13.23,0.00,0.00,0.00,0.00,59.68,0.00,59.42,0.00,0.00,2,29999
67,,13.23,0.00,0.00,0.00,0.00,59.63,0.00,59.45,0.00,0.00,2,27499
68,,13.26,0.00,0.00,0.00,0.00,59.62,0.00,59.73,0.00,0.00,1,9499
69,,13.25,0.00,0.00,0.00,0.00,59.56,0.00,59.73,0.00,0.00,1,11999
70,,13.26,0.00,0.00,0.00,0.00,59.58,0.00,59.74,0.00,0.00,1,15499
71,,13.23,0.00,0.00,0.00,0.00,59.62,0.00,59.49,0.00,0.00,2,26499
72,,13.23,0.00,0.00,0.00,0.00,59.75,0.00,59.31,0.00,0.00,3,34999
73,,13.23,0.00,0.00,0.00,0.00,59.73,0.00,59.36,0.00,0.00,2,33999
74,,13.26,0.00,0.00,0.00,0.00,59.59,0.00,59.74,0.00,0.00,1,14499
75,,13.24,0.00,0.00,0.00,0.00,59.73,0.00,59.40,0.00,0.00,2,33499
76,,13.24,0.00,0.00,0.00,0.00,59.57,0.00,59.61,0.00,0.00,2,20499
